Feature_ID	Domain	Phyla	Class	Order	Family	Genus	Species	Confidence
19b915de3b7061048b3b15af4253de97	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales_592524	 f__Burkholderiaceae_A_580492			0.785816486
f8e39cae663450b053abf52b03c90b4b	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__UBA4664	 f__UBA4664	 g__UBA4664	 s__UBA4664 sp002415345	0.997282179
f78b1d0520a1416016d2375369b62382	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria					0.977997901
cb27ce4d5da6082b2513404a637c394a	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria_12420	 o__Peribacterales	 f__Peribacteraceae	 g__VMFU01	 s__VMFU01 sp007376205	0.851356284
7160b1c389ff7fcec3715237a839d73a	d__Bacteria	 p__Myxococcota_A_473307	 c__Polyangia_463783	 o__Polyangiales				0.818399207
0fa77fe11b593b38b9864a4df43c71c4	d__Bacteria	 p__Bacteroidota	 c__Kapabacteria	 o__Kapabacteriales	 f__	 g__	 s__	0.998601071
eace8197571511b866cf6c77cd9184f1	d__Bacteria	 p__Myxococcota_A_473307	 c__Polyangia_463783	 o__Polyangiales	 f__SLQV01	 g__SLQV01		0.822599145
f79c605ee4fa09696aaef012876b551a	d__Bacteria							0.999926138
306f914c5e6be465d8e0b707bce0de7e	d__Bacteria	 p__Bdellovibrionota_E	 c__Bdellovibrionia_A_473294	 o__Bdellovibrionales				0.999057691
a5eafe39c3e86f619d7b4af5a89d4504	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__	 g__	 s__	0.897158662
74943d2b39a1d63131e748d7aef004b0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales_877923	 f__Flavobacteriaceae	 g__Flavobacterium		1
1c78af64eb58834016b6a5ccb7c46b45	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Christensenellales	 f__CAG-138	 g__Aphodomorpha	 s__Aphodomorpha intestinavium	0.769151148
1e9cf7472f0f729f8dbbfbae16f12cc3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__UBA12402	 f__UBA12402	 g__1-14-0-20-46-22	 s__	0.991438244
c5164520138de0ee87cb4f5364dfb85e	d__Bacteria	 p__Bdellovibrionota_E	 c__Bdellovibrionia_A_473294	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Pseudobdellovibrio	 s__Pseudobdellovibrio exovorus	0.978568843
14901c7e9ee6b82375eb3d846d60940b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales_A	 f__Legionellaceae_A	 g__JAALKW01	 s__JAALKW01 sp009995425	0.826157166
d9434134bd15ef9f44b51fc3e171ee36	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Peptostreptococcales	 f__Anaerovoracaceae	 g__Anaerovorax	 s__Anaerovorax odorimutans	0.999326186
48d05db5f3eecf59787343bb6952e422	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Geminicoccales	 f__Geminicoccaceae	 g__Geminicoccus	 s__Geminicoccus roseus	0.777343403
f467fffe39524dd3d4c7e44732f5f5d7	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__Tepidisphaeraceae	 g__UBA2421	 s__	0.999968531
d1de3762d25d7808d1df93dc446cc18a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Rubellimicrobium	 s__Rubellimicrobium thermophilum	0.752840773
f7c628a30a66c806168f0012e79de2ac	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae_966727	 g__	 s__	0.742460603
908527e8d068effd63ed1f2dd3f79893	d__Bacteria	 p__Cyanobacteria	 c__Sericytochromatia	 o__UBA7694	 f__UBA7694	 g__GCA-2770975	 s__GCA-2770975 sp002783405	0.999933181
90be896934f8a1ac44450cab18d636ff	d__Bacteria	 p__Bdellovibrionota_E	 c__Bdellovibrionia_A_473294	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__Bdellovibrio bacteriovorus_E	0.980000592
126621e4cc3bedd1d4db0b283ecfabcd	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia	 o__Mycobacteriales	 f__Mycobacteriaceae	 g__Lawsonella		0.999999992
